"","recipient","removal_rate","partners","acts_per_day","transmission_risk_per_act","transmission_risk_per_day","source","infectionTime","sampleTime","cumulative_partners","cumulative_transmissions"
"63",63,5e-04,0,0.0733895394019782,0.043278418081289,0,55,157,522,0,0
"64",64,5e-04,3,0.0447849551215768,0.0363818130272486,0.00496683365819572,40,159,524,0,0
"65",65,5e-04,2,0.422737832528479,0.03811686930114,0.0323232148288645,23,160,525,0,0
"66",66,5e-04,1,0.00627860471273757,0.0389159786495645,0.000249188383614984,23,161,526,0,0
"67",67,5e-04,1,0.217841388629221,0.0404450941093165,0.00895342057469073,27,162,527,0,0
"68",68,5e-04,0,0.104697427153587,0.033343188644558,0,55,163,528,0,0
"69",69,5e-04,0,0.00773925636895001,0.0517541819444504,0,54,166,531,0,0
"70",70,5e-04,1,0.514474397127457,0.0462410511192876,0.0240631887063411,32,170,535,0,0
"71",71,5e-04,6,0.0317935564555228,0.0389364382390952,0.00754740942008569,65,172,537,0,0
"72",72,5e-04,0,0.627582765381687,0.0474534265633248,0,23,173,538,0,0
"73",73,5e-04,1,0.178094812016934,0.0347118131792908,0.00627208519321587,55,173,538,0,0
"74",74,5e-04,1,0.242224553680483,0.0406206658603819,0.00999446479047517,23,174,539,0,0
"75",75,5e-04,0,0.532191020783908,0.0468268891469995,0,55,174,539,0,0
"76",76,5e-04,1,0.28789369847929,0.0349221699541742,0.0101814360765814,29,176,541,0,0
"77",77,5e-04,1,0.247134893840615,0.0445592666559961,0.011201824247895,23,178,543,0,0
"78",78,5e-04,2,0.151998998480174,0.0372408423458209,0.0114710304894756,23,184,549,0,0
"79",79,5e-04,0,0.39398706339902,0.0511064130677069,0,29,184,549,0,0
"80",80,5e-04,1,0.744418363794129,0.0410924112065174,0.0307534088676331,23,185,550,0,0
"81",81,5e-04,0,0.174088098714128,0.0441924912328365,0,53,185,550,0,0
"82",82,5e-04,1,0.112964488053694,0.0440860596364684,0.00508032526128832,29,186,551,0,0
"83",83,5e-04,0,0.809449064507525,0.0426912790905742,0,20,187,552,0,0
"84",84,5e-04,2,0.0819275761954486,0.035448851034743,0.00589647554590789,29,187,552,0,0
"85",85,5e-04,4,0.552843418255305,0.0466855093304717,0.100329527280902,23,188,553,0,0
"86",86,5e-04,1,0.691153674721162,0.0443776397590165,0.030886137409142,29,189,554,0,0
"87",87,5e-04,2,0.0580600441899151,0.0418449307537798,0.00495132979435575,29,190,555,0,0
"88",88,5e-04,0,0.285420455305342,0.0375952771586242,0,32,190,555,0,0
"89",89,5e-04,0,0.546569782284029,0.0534179743042917,0,40,191,556,0,0
"90",90,5e-04,2,0.80547208949868,0.0380037689733587,0.0605076692857638,23,192,557,0,0
"91",91,5e-04,5,0.110213509571614,0.0385511319015733,0.0214316194316961,43,192,557,0,0
"92",92,5e-04,2,0.746873219832223,0.0389051772091765,0.0575525817066957,13,193,558,0,0
"93",93,5e-04,2,0.842810301432266,0.0399489951824827,0.0664127363916507,39,193,558,0,0
"94",94,5e-04,2,0.748437485376765,0.0418472943137194,0.0619842890531361,85,196,561,0,0
"95",95,5e-04,1,0.137898822579858,0.0428970671796356,0.00602784146823387,93,196,561,0,0
"96",96,5e-04,2,0.0337672903319343,0.0385130940264303,0.00264886112783358,71,197,562,0,0
"97",97,5e-04,3,0.574007956844695,0.0375130383583245,0.0637204364809169,85,197,562,0,0
"98",98,5e-04,1,0.159036938706413,0.051480156753254,0.00837028326776923,54,198,563,0,0
"99",99,5e-04,0,0.236023015789637,0.0280040572978766,0,29,199,564,0,0
"100",100,5e-04,1,0.0602093790192157,0.0385590525535563,0.00236476074422953,43,199,564,0,0
"101",101,5e-04,4,0.278812466234966,0.0378653706241617,0.0421361577265063,23,200,565,0,0
"102",102,5e-04,0,0.235017410295355,0.0524679899629045,0,40,200,565,0,0
"103",103,5e-04,1,0.0492256191051413,0.0347909229116118,0.00174158747282205,97,200,565,0,0
"104",104,5e-04,0,0.827115684523623,0.0342412050146938,0,85,201,566,0,0
"105",105,5e-04,2,0.107912360597402,0.0366577296005217,0.00802790285338051,23,202,567,0,0
"106",106,5e-04,0,0.505697776724525,0.0319399833847107,0,40,202,567,0,0
"107",107,5e-04,2,0.0431764796376228,0.0396235051560722,0.00348515328775068,85,203,568,0,0
"108",108,5e-04,0,0.517520024216325,0.0401413006327457,0,23,204,569,0,0
"109",109,5e-04,0,0.138230414735153,0.0378738634775471,0,70,204,569,0,0
"110",110,5e-04,1,0.00641788775101304,0.0446642099070436,0.000293205621776038,86,204,569,0,0
"111",111,5e-04,0,1.15472987455534,0.0468484683171816,0,92,206,571,0,0
"112",112,5e-04,11,0.137629529926926,0.0310051595802227,0.0465636058523673,23,207,572,0,0
"113",113,5e-04,0,0.354846317867253,0.0292779896990845,0,27,208,573,0,0
"114",114,5e-04,3,0.335893160650942,0.0364591932897901,0.0367339745690558,40,208,573,0,0
"115",115,5e-04,1,0.446171797643362,0.0356618846725485,0.0160714260823444,55,208,573,0,0
"116",116,5e-04,1,0.145797599293292,0.0380144627891524,0.00563457759783825,65,208,573,0,0
"117",117,5e-04,0,0.774719523786943,0.0430924105476578,0,93,208,573,0,0
"118",118,5e-04,4,0.375029895721439,0.0519337396313737,0.0768861495874413,32,211,576,0,0
"119",119,5e-04,1,0.194539055787027,0.0385458289118037,0.00761785091545597,85,211,576,0,0
"120",120,5e-04,1,0.0145568434149027,0.0455312789490201,0.00067812478749929,101,212,577,0,0
"121",121,5e-04,0,1.33695754065999,0.0341053200090871,0,54,214,579,0,0
"122",122,5e-04,2,0.126616307068616,0.0403410116605504,0.010373252604959,101,214,579,0,0
"123",123,5e-04,3,0.866727581569805,0.0434473228059412,0.109078185975476,122,215,580,0,0
"124",124,5e-04,0,0.365634151908074,0.0396122052920508,0,29,217,582,0,0
"125",125,5e-04,0,0.26005551262488,0.0354485886255867,0,32,217,582,0,0
"126",126,5e-04,0,0.687787154557503,0.0485122942795339,0,43,217,582,0,0
"127",127,5e-04,0,0.0321852166671306,0.0311121853368656,0,40,218,583,0,0
"128",128,5e-04,1,0.0306036466732621,0.0357449209371782,0.00111333460423046,90,218,583,0,0
"129",129,5e-04,1,0.00435337708331645,0.0405822488878106,0.000180338437040128,23,220,585,0,0
"130",130,5e-04,0,0.123452648939565,0.0379509084286074,0,54,220,585,0,0
"131",131,5e-04,1,0.063930832664644,0.0333507179627291,0.00216615466946724,55,220,585,0,0
"132",132,5e-04,4,0.0456304477177163,0.0437915905838511,0.00813990422670341,74,220,585,0,0
"133",133,5e-04,0,0.0375770829750421,0.0466493884457841,0,93,220,585,0,0
"134",134,5e-04,1,0.123599264631048,0.0429978705091371,0.00541741852271471,85,221,586,0,0
"135",135,5e-04,0,0.077008500882852,0.0390201047777229,0,123,221,586,0,0
"136",136,5e-04,1,0.133878065971658,0.0320091699547948,0.0043459392061086,23,222,587,0,0
"137",137,5e-04,3,0.509984933559723,0.0345173353816856,0.0523243004992501,67,222,587,0,0
"138",138,5e-04,0,0.341518623834912,0.037834379203776,0,92,222,587,0,0
"139",139,5e-04,1,0.091289460612461,0.0435980931706772,0.00406114596936968,23,223,588,0,0
"140",140,5e-04,1,0.00183529833566657,0.0470405681005357,8.84261690700106e-05,29,223,588,0,0
"141",141,5e-04,1,0.716101322099011,0.0449645184700913,0.0324087275771114,54,223,588,0,0
"142",142,5e-04,0,0.264315068368259,0.0362755338350533,0,86,223,588,0,0
"143",143,5e-04,0,0.107216960191727,0.037481258610891,0,97,223,588,0,0
"144",144,5e-04,2,0.292091931726692,0.0363104082902076,0.0213748942668529,16,224,589,0,0
"145",145,5e-04,1,0.0492396596353501,0.0418459793966107,0.00210262135877992,118,224,589,0,0
"146",146,5e-04,0,0.270935232738469,0.0344991208134278,0,23,225,590,0,0
"147",147,5e-04,0,0.0196438536979258,0.0436992914816177,0,76,225,590,0,0
"148",148,5e-04,0,0.45406721064163,0.0491789160373111,0,141,225,590,0,0
"149",149,5e-04,0,0.296339780452166,0.0450108605826249,0,29,226,591,0,0
"150",150,5e-04,2,1.53969783878091,0.0403200831948321,0.119032000619618,55,227,592,0,0
"151",151,5e-04,3,1.20075594199108,0.0389816668535549,0.133447538715585,23,228,593,0,0
"152",152,5e-04,0,0.0668183828238398,0.0345648853861902,0,29,228,593,0,0
"153",153,5e-04,0,0.197943805670366,0.0335861489838637,0,49,230,595,0,0
"154",154,5e-04,3,0.741518836616914,0.0408803080779393,0.088671323414381,54,230,595,0,0
